Country,Year,Disease,Cases,Deaths
Kenya,2021,Cholera,1560,228
Ethiopia,2021,Malaria,1939,225
Nigeria,2019,Cholera,668,40
South Africa,2020,Malaria,1214,111
South Africa,2019,Cholera,1697,84
Ghana,2020,Measles,1504,206
Kenya,2020,Measles,1133,141
South Africa,2021,Malaria,1943,205
Ethiopia,2019,Malaria,1010,88
Ghana,2021,Tuberculosis,1828,198
Kenya,2021,Tuberculosis,1400,146
South Africa,2020,Tuberculosis,550,66
Nigeria,2020,Malaria,768,70
Kenya,2020,Malaria,768,88
Nigeria,2020,Malaria,855,45
South Africa,2020,Cholera,605,87
Nigeria,2021,Tuberculosis,1596,225
Kenya,2019,Cholera,510,39
Kenya,2021,Measles,981,102
Ghana,2020,Malaria,742,52
South Africa,2021,Cholera,1640,168
Nigeria,2019,Tuberculosis,1233,150
Kenya,2021,Cholera,635,71
South Africa,2021,Tuberculosis,1464,151
Nigeria,2021,Cholera,613,86
Ethiopia,2019,Tuberculosis,1782,118
South Africa,2020,Malaria,773,86
Kenya,2020,Cholera,1863,119
South Africa,2021,Cholera,1662,196
Ghana,2020,Cholera,1835,213
Nigeria,2020,Cholera,703,93
Nigeria,2019,Cholera,703,54
Nigeria,2021,Measles,983,58
South Africa,2019,Cholera,1459,138
Ghana,2019,Measles,1842,171
South Africa,2020,Malaria,1582,140
Nigeria,2020,Measles,534,50
Ethiopia,2021,Cholera,535,41
Nigeria,2021,Tuberculosis,1697,138
Ethiopia,2021,Cholera,1207,95
South Africa,2020,Tuberculosis,846,63
Nigeria,2019,Measles,1369,161
South Africa,2021,Malaria,1316,193
Ethiopia,2019,Tuberculosis,1037,146
Ethiopia,2019,Measles,853,76
South Africa,2020,Malaria,1823,135
Ghana,2021,Malaria,555,58
Ghana,2021,Malaria,919,83
Ghana,2021,Measles,589,42
South Africa,2021,Malaria,1370,122
Ghana,2021,Tuberculosis,699,39
Nigeria,2020,Malaria,1078,71
Ethiopia,2019,Malaria,1125,146
Kenya,2019,Malaria,1646,198
Kenya,2020,Malaria,1738,225
Ghana,2020,Measles,755,49
Kenya,2021,Tuberculosis,693,86
Kenya,2020,Tuberculosis,832,85
Nigeria,2020,Measles,1621,212
Kenya,2021,Malaria,1800,167
Nigeria,2021,Malaria,846,103
Kenya,2019,Tuberculosis,1614,165
South Africa,2020,Malaria,726,52
South Africa,2019,Measles,530,55
South Africa,2019,Cholera,1561,138
Nigeria,2020,Malaria,1498,169
Ethiopia,2021,Tuberculosis,1911,232
Ethiopia,2019,Cholera,572,32
Kenya,2021,Measles,1810,255
Kenya,2019,Cholera,1677,200
South Africa,2019,Measles,1104,78
Ghana,2021,Malaria,1235,160
Kenya,2019,Malaria,1104,82
Nigeria,2020,Malaria,1664,215
South Africa,2019,Tuberculosis,1259,119
Ethiopia,2021,Malaria,1280,185
Nigeria,2021,Measles,1789,226
South Africa,2019,Tuberculosis,917,84
Ghana,2019,Measles,1140,86
Ethiopia,2021,Tuberculosis,888,121
Ghana,2019,Malaria,681,47
South Africa,2019,Malaria,1695,109
Ghana,2020,Tuberculosis,993,138
Ethiopia,2021,Malaria,1977,295
Ethiopia,2020,Malaria,1597,102
South Africa,2019,Tuberculosis,1618,130
Kenya,2021,Malaria,622,62
South Africa,2019,Malaria,818,54
Ghana,2020,Cholera,631,70
Ethiopia,2019,Cholera,1895,235
South Africa,2019,Measles,1034,123
Ethiopia,2019,Measles,1320,195
Nigeria,2021,Measles,1642,210
Ethiopia,2021,Malaria,1216,170
Kenya,2019,Measles,966,59
Ghana,2020,Tuberculosis,1288,132
Kenya,2020,Malaria,1961,222
Ghana,2021,Cholera,1261,163
Nigeria,2021,Malaria,1890,229
Kenya,2020,Measles,1828,142
Kenya,2020,Measles,1407,141
Ghana,2020,Cholera,722,107
Nigeria,2021,Malaria,956,100
Nigeria,2021,Measles,796,101
Ghana,2020,Cholera,576,43
Nigeria,2021,Measles,760,63
Kenya,2019,Cholera,1038,124
Kenya,2021,Measles,603,65
Kenya,2019,Tuberculosis,887,116
Kenya,2020,Malaria,560,54
Nigeria,2019,Tuberculosis,558,30
Kenya,2019,Measles,869,108
South Africa,2021,Measles,1194,158
Ethiopia,2019,Malaria,797,71
South Africa,2019,Tuberculosis,1311,172
Ethiopia,2020,Cholera,1264,152
Ethiopia,2021,Measles,1022,61
South Africa,2021,Tuberculosis,1255,153
South Africa,2020,Cholera,614,69
Ethiopia,2021,Malaria,1066,121
South Africa,2021,Measles,1884,202
South Africa,2019,Tuberculosis,1038,81
Ethiopia,2021,Cholera,1004,61
South Africa,2020,Cholera,1271,119
Ghana,2020,Malaria,570,51
South Africa,2020,Malaria,1538,78
Ethiopia,2020,Measles,642,57
Kenya,2021,Measles,1132,149
Nigeria,2019,Malaria,1236,104
Nigeria,2019,Malaria,1396,127
South Africa,2020,Tuberculosis,821,47
South Africa,2021,Malaria,1257,85
Nigeria,2021,Malaria,1093,85
Kenya,2019,Malaria,1835,150
Nigeria,2021,Malaria,1560,187
South Africa,2020,Measles,1251,172
Kenya,2021,Measles,666,69
Ghana,2021,Measles,1567,91
Kenya,2021,Malaria,1362,147
Ghana,2019,Cholera,1201,158
Ethiopia,2020,Tuberculosis,1742,258
South Africa,2021,Tuberculosis,697,93
Kenya,2021,Tuberculosis,1230,115
Nigeria,2021,Measles,1867,153
Kenya,2020,Cholera,1344,146
South Africa,2019,Measles,787,85
South Africa,2019,Measles,1010,110
Nigeria,2019,Measles,1321,73
Ghana,2020,Tuberculosis,969,58
Nigeria,2020,Tuberculosis,1389,124
South Africa,2021,Tuberculosis,1158,137
South Africa,2019,Measles,513,51
Ethiopia,2020,Malaria,1839,194
Ghana,2019,Malaria,1545,92
Ghana,2021,Measles,1479,218
Ghana,2021,Tuberculosis,1204,93
Ethiopia,2020,Malaria,1281,64
Nigeria,2020,Malaria,909,69
Nigeria,2019,Tuberculosis,1493,119
Ethiopia,2021,Measles,1381,98
Kenya,2019,Measles,1831,248
South Africa,2021,Malaria,1759,182
Ghana,2021,Cholera,1858,94
Ethiopia,2021,Malaria,1459,133
Ethiopia,2020,Measles,794,57
Ghana,2020,Cholera,751,52
Nigeria,2021,Cholera,515,74
South Africa,2021,Tuberculosis,885,128
Nigeria,2020,Tuberculosis,534,71
South Africa,2021,Malaria,1054,60
South Africa,2020,Tuberculosis,1943,264
Ghana,2019,Measles,1591,151
Kenya,2021,Tuberculosis,628,40
Ethiopia,2021,Measles,1168,124
Kenya,2021,Measles,879,125
Kenya,2020,Malaria,1173,75
Ethiopia,2020,Cholera,739,83
Ghana,2021,Malaria,991,142
South Africa,2019,Malaria,1721,210
Ghana,2021,Cholera,1687,144
Ethiopia,2021,Measles,1085,73
Nigeria,2021,Tuberculosis,1360,160
Kenya,2020,Cholera,715,101
Ghana,2019,Cholera,1421,131
Nigeria,2021,Malaria,1137,77
Kenya,2019,Tuberculosis,538,39
Ethiopia,2021,Tuberculosis,1523,204
South Africa,2020,Cholera,627,75
South Africa,2019,Cholera,1547,155
Ethiopia,2021,Measles,1098,94
Ethiopia,2019,Measles,1105,76
Nigeria,2020,Malaria,1198,69
South Africa,2021,Measles,1878,241
Kenya,2020,Measles,1315,128
Kenya,2019,Tuberculosis,1031,62
Ethiopia,2021,Cholera,1513,106
South Africa,2020,Malaria,741,84
Ethiopia,2021,Measles,1130,108
Kenya,2019,Tuberculosis,1379,107
Kenya,2021,Measles,1546,77
Kenya,2020,Measles,867,66
Ghana,2019,Malaria,798,81
Nigeria,2019,Malaria,1202,177
Ethiopia,2019,Malaria,1293,188
Nigeria,2019,Malaria,857,108
Ethiopia,2021,Malaria,737,40
Ghana,2021,Cholera,1509,139
South Africa,2021,Measles,1784,113
Kenya,2019,Malaria,1967,268
Ethiopia,2020,Cholera,1743,166
Nigeria,2021,Malaria,548,58
Ghana,2019,Measles,1969,178
Ethiopia,2021,Measles,537,43
Kenya,2019,Tuberculosis,791,67
Nigeria,2019,Malaria,507,66
Ghana,2021,Cholera,1950,132
Kenya,2019,Tuberculosis,626,63
Ghana,2020,Tuberculosis,1656,105
Ethiopia,2021,Measles,1376,163
Kenya,2019,Malaria,840,100
South Africa,2020,Cholera,1256,126
Nigeria,2020,Cholera,1699,220
Nigeria,2021,Measles,1301,180
Nigeria,2019,Malaria,1986,273
Ghana,2021,Measles,869,68
South Africa,2019,Tuberculosis,1472,91
Nigeria,2019,Malaria,1873,255
Nigeria,2019,Cholera,1720,228
Kenya,2020,Measles,1518,114
Ghana,2020,Malaria,1395,198
Nigeria,2021,Malaria,952,91
Ethiopia,2020,Cholera,1217,132
South Africa,2020,Cholera,883,106
Ethiopia,2019,Tuberculosis,1348,177
Kenya,2021,Tuberculosis,923,50
Nigeria,2021,Malaria,1000,68
Ghana,2019,Tuberculosis,1600,140
South Africa,2019,Measles,738,60
South Africa,2019,Tuberculosis,955,133
South Africa,2019,Cholera,1786,122
Ethiopia,2021,Measles,1264,149
Kenya,2019,Tuberculosis,557,51
Kenya,2020,Measles,1800,201
South Africa,2019,Malaria,508,40
Ethiopia,2019,Measles,641,75
South Africa,2020,Cholera,859,70
Kenya,2020,Cholera,1026,68
South Africa,2019,Measles,902,124
Kenya,2020,Malaria,1006,124
South Africa,2020,Measles,989,108
